[2025-11-28 19:40:40] [main/INFO] [CustomSkinLoader Core]: "version.json": jar:file:/home/Flero/.minecraft/versions/fabric-loader-0.17.3-1.21.1/fabric-loader-0.17.3-1.21.1.jar!/version.json
[2025-11-28 19:40:40] [main/INFO] [CustomSkinLoader Core]: MinecraftVersion: {name='1.21.1', world_version='3955', protocol_version='767'}
[2025-11-28 19:40:41] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_355, mixin: customskinloader.mixin.MixinGuiPlayerTabOverlay, result: true
[2025-11-28 19:40:41] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_760, mixin: customskinloader.mixin.MixinIImageBuffer, result: false
[2025-11-28 19:40:41] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_3298, mixin: customskinloader.mixin.MixinIResource, result: true
[2025-11-28 19:40:41] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_3300, mixin: customskinloader.mixin.MixinIResourceManager, result: true
[2025-11-28 19:40:41] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_972, mixin: customskinloader.mixin.MixinLayerCape, result: true
[2025-11-28 19:40:41] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_310, mixin: customskinloader.mixin.MixinMinecraft, result: true
[2025-11-28 19:40:41] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1011, mixin: customskinloader.mixin.MixinNativeImage, result: true
[2025-11-28 19:40:41] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1007, mixin: customskinloader.mixin.MixinRenderPlayer, result: true
[2025-11-28 19:40:41] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1071$1, mixin: customskinloader.mixin.MixinSkinManager$1, result: true
[2025-11-28 19:40:41] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1071$class_8687, mixin: customskinloader.mixin.MixinSkinManager$TextureCache, result: true
[2025-11-28 19:40:41] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1071, mixin: customskinloader.mixin.MixinSkinManager$V1, result: true
[2025-11-28 19:40:41] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1071, mixin: customskinloader.mixin.MixinSkinManager$V2, result: false
[2025-11-28 19:40:41] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1071, mixin: customskinloader.mixin.MixinSkinManager$V3, result: true
[2025-11-28 19:40:41] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_10538, mixin: customskinloader.mixin.MixinSkinTextureDownloader, result: false
[2025-11-28 19:40:41] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1046, mixin: customskinloader.mixin.MixinThreadDownloadImageData$V1, result: false
[2025-11-28 19:40:41] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1046, mixin: customskinloader.mixin.MixinThreadDownloadImageData$V2, result: true
